tick,time_s,decision,p_x,m_x,s_x,p_v,m_v,s_v,p_a,m_a,s_a,gap_ps,gap_pm,target_x_m_star,target_t_m_star,target_v_star
69,6.9,merge,89.89408108051089,73.85729374049085,54.493660658863504,6.473502828266934,4.651976353476172,2.672623646681902,-0.6654140121351877,0.21818919542733634,1.175334085112372,35.40042042164738,16.03678734002004,90.0,9.9,7.0
70,7.0,merge,90.53774262409598,74.32326322383476,54.766527240620064,6.396372463786343,4.6644550846143575,2.7821854458042905,-0.8668280638888012,0.040621448395837256,1.0239131759556328,35.77121538347592,16.214479400261226,90.0,10.0,7.0
71,7.1000000000000005,merge,91.17260397942897,74.78950657753585,55.04950020106786,6.29675916064255,4.656650777966311,2.8738804122998243,-1.1126548831876177,-0.18514261643179933,0.8202277919986796,36.12310377836111,16.383097401893124,90.0,10.100000000000001,7.0
72,7.2,merge,91.79623369252843,75.25379065216778,55.340564635419625,6.171373434845803,4.624814215596518,2.9434632671118415,-1.3804676264041915,-0.43823802399055767,0.5834297794374361,36.45566905710881,16.542443040360652,110.0,11.7,10.0
73,7.300000000000001,merge,92.40756388956733,75.7146815223424,55.63777418369712,6.065905523466572,4.598881976808205,3.000262825303442,-0.7399233437543871,-0.0854939119452095,0.5555182209858653,36.76978970587021,16.692882367224925,110.0,11.8,10.0
74,7.4,merge,93.01130667266091,76.17458645232243,55.940485355565315,6.017251318440282,4.60357110592318,3.053121539665697,-0.2418187726855614,0.1757853644545203,0.5051522493613404,37.07082131709559,16.836720220338478,110.0,11.9,10.0
75,7.5,merge,93.61246211255599,76.63613136871324,56.2481996638326,6.0120880459331065,4.6303644724416975,3.1000282654126035,0.1320403041294932,0.35802475925057164,0.43694681611130165,37.36426244872339,16.97633074384275,110.0,12.5,9.0
76,7.6000000000000005,merge,94.21439953997196,77.10097043554725,56.560337279349106,6.027343950128047,4.666562354295203,3.142274052380957,0.17304556441392735,0.3667485641978263,0.4099360949882364,37.65406226062286,17.11342910442471,110.0,12.100000000000001,9.0
77,7.7,merge,94.81840351089875,77.56978054681137,56.87683253252571,6.056668409715897,4.712766965827811,3.189788200434055,0.4090394845649066,0.5543842067895691,0.5393669823023874,37.941570978373036,17.248622964087374,110.0,12.2,9.0
78,7.800000000000001,merge,95.42637044124866,78.04402509655547,57.198636913804826,6.105150032360584,4.774043640929031,3.2475871218002568,0.5578400841614307,0.6695650875653788,0.6166241379845212,38.22773352744384,17.382345344693192,110.0,11.8,10.0
